	sim_id	lbgi_icgm	lbgi_ideal	lbgi_diff	dkai_icgm	dkai_ideal	dkai_diff	bg_condition	true_start_bg	start_bg_with_offset	sbr	isf	cir	ylw	age	max_bolus_delivered	traditional_bolus_delivered	bolus_diff
0	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=100	1.41	1.41	0.0	0.0	0.0	0.0	1	100	100				0	6	0.2704396490055497	0	0.2704396490055497
1	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=105	1.2	1.41	-0.20999999999999996	0.0	0.0	0.0	1	100	105				0	6	0.2590665756515883	0	0.2590665756515883
2	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=110	1.24	1.41	-0.16999999999999993	0.0	0.0	0.0	1	100	110				0	6	0.2837064203100589	0	0.2837064203100589
3	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=115	1.04	1.41	-0.3699999999999999	0.0	0.0	0.0	1	100	115				0	6	0.2656919983129314	0	0.2656919983129314
4	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=120	1.38	1.41	-0.030000000000000027	0.0	0.0	0.0	1	100	120				0	6	0.2794655177924958	0	0.2794655177924958
5	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=125	1.2	1.41	-0.20999999999999996	0.0	0.0	0.0	1	100	125				0	6	0.2855453478548609	0	0.2855453478548609
6	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=130	0.87	1.41	-0.5399999999999999	0.0	0.0	0.0	1	100	130				0	6	0.2558813362703856	0	0.2558813362703856
7	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=135	0.97	1.41	-0.43999999999999995	0.083	0.0	0.083	1	100	135				0	6	0.0969944341372912	0	0.0969944341372912
8	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=140	1.11	1.41	-0.2999999999999998	0.583	0.0	0.583	1	100	140				0	6	0.1158494566657832	0	0.1158494566657832
9	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=145	1.07	1.41	-0.33999999999999986	0.417	0.0	0.417	1	100	145				0	6	0.1259316194010071	0	0.1259316194010071
